minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
3,11,0.87,1,295
2,2,0.16,0,70
2,0,1.3732214298586618,0,58
3,87,4.91,267,75
5,13,0.25,0,38
30,3,0.21,270,100
7,1,1.0,43,260
1,42,1.32,4,147
1,0,1.3732214298586618,0,34
1,0,1.3732214298586618,0,65
30,6,0.24,150,125
30,0,1.3732214298586618,338,310
1,0,1.3732214298586618,329,50
1,4,0.61,0,79
30,1,1.0,63,329
1,0,1.3732214298586618,170,115
3,3,0.48,0,140
3,95,1.51,112,225
1,0,1.3732214298586618,281,149
2,7,3.82,124,50
30,0,1.3732214298586618,364,88
2,1,0.16,0,200
14,4,0.12,0,160
2,51,5.03,89,125
4,14,0.23,0,75
2,5,2.5,57,80
2,1,0.02,0,140
2,15,1.91,41,134
10,1,0.02,0,65
30,7,0.12,327,159
2,16,5.78,52,300
1,0,1.3732214298586618,180,95
15,0,1.3732214298586618,0,70
2,58,0.61,199,248
1,1,1.0,364,750
2,3,0.12,0,90
30,5,0.42,161,80
7,0,1.3732214298586618,67,85
3,3,0.08,0,50
2,4,0.58,0,295
14,0,1.3732214298586618,0,80
3,0,1.3732214298586618,0,109
3,16,0.26,0,100
2,27,0.78,339,45
3,38,0.62,243,135
4,9,3.97,124,115
5,7,0.15,341,185
3,3,0.48,42,150
30,0,1.3732214298586618,312,290
1,5,0.53,0,80
1,26,2.52,0,65
31,3,0.27,242,45
1,127,6.54,7,80
1,5,4.05,365,75
7,15,0.27,213,69
4,28,0.74,0,65
4,0,1.3732214298586618,0,60
3,3,0.21,0,195
15,19,0.54,106,69
5,2,0.09,0,160
3,12,0.28,0,150
1,0,1.3732214298586618,0,250
3,0,1.3732214298586618,0,90
2,4,4.0,129,235
1,0,1.3732214298586618,230,100
1,0,1.3732214298586618,15,239
1,0,1.3732214298586618,32,65
3,19,3.41,228,115
1,30,5.45,282,60
7,1,0.13,173,60
14,0,1.3732214298586618,0,45
1,2,0.05,0,300
5,9,0.16,0,35
4,5,0.09,98,69
30,5,0.11,301,198
5,3,0.07,0,100
2,47,1.22,249,60
1,0,1.3732214298586618,179,225
2,19,0.31,328,325
2,9,1.32,286,350
1,0,1.3732214298586618,0,45
6,2,0.09,341,200
4,45,1.01,190,100
2,64,4.92,194,125
2,5,0.49,365,68
5,47,1.53,91,115
3,2,0.17,36,55
15,1,0.06,0,65
5,3,0.08,9,300
3,52,3.2,3,100
3,98,2.66,278,98
1,3,0.13,0,100
2,0,1.3732214298586618,5,165
7,4,0.92,95,55
1,0,1.3732214298586618,363,149
2,6,0.13,0,102
1,52,1.39,355,85
1,15,0.43,179,89
2,26,1.6,74,45
4,3,0.16,0,299
30,1,0.02,0,130
14,88,1.03,176,93
2,4,0.22,0,210
3,0,1.3732214298586618,0,200
1,34,1.67,93,70
1,17,1.68,64,90
1,25,1.67,330,140
